center.id,or.id,water.trap,anaesthesia.machine,comment
1,1,1,Draeger Primus,
1,2,1,Draeger Primus,
3,1,0,Draeger Perseus,
4,1,0,Draeger Perseus,
4,2,0,Draeger Perseus,
4,3,0,Draeger Perseus,
4,4,0,Draeger Perseus,
4,5,0,Draeger Perseus,
4,6,0,Draeger Perseus,
5,1,0,Draeger Perseus,
5,2,0,Draeger Perseus,
6,1,0,Draeger Primus,
6,2,0,Draeger Primus,
6,3,0,Draeger Primus,
6,4,1,Draeger Primus,
6,5,0,Draeger Primus,
6,6,0,Draeger Primus,
7,1,0,Draeger Zeus,
9,1,0,Draeger Primus,
9,2,0,Draeger Primus,
9,3,0,Draeger Primus,
10,1,1,Draeger Primus,
10,2,1,Draeger Primus,
11,1,0,Loewenstein Leon plus neo,
11,2,0,Loewenstein Leon plus,
12,1,1,Draeger Atlan,
