agc.id,available,date.weight1,weight1,date.weight2,weight2
CH0100018621,1,2025-06-05,1487.4,,
CH0100018634,1,2025-06-05,1478.1,,
CH0100018635,0,2025-06-05,NA,,
CH0100022340,1,2025-06-05,1408.8,2025-08-01,1406
CH0100022358,1,2025-06-05,1394.6,,
CH0100022359,1,2025-06-05,1495.6,2025-08-01,1492
CH0100022374,1,2025-06-05,1445.7,,
CH0100022440,1,2025-06-05,1368.1,2025-08-01,1367
CH0100022449,1,2025-06-05,1450.4,,
CH0100022511,0,2025-06-05,NA,,
CH0100022685,1,2025-06-05,1445.7,2025-08-01,1440
CH0100022762,1,2025-06-05,1434.2,2025-08-01,1432
CH0100026809,1,2025-06-05,1416.9,2025-08-01,1413
CH0100027236,0,2025-06-05,NA,,
CH0100027240,1,2025-06-05,1413.4,2025-08-01,1410
CH0100027253,1,2025-06-05,1406.9,2025-08-01,1403
CH0100027255,1,2025-06-05,1412.1,2025-08-01,1409
CH0100027395,1,2025-06-05,1323,2025-08-01,1322
CH0100027397,1,2025-06-05,1453,2025-08-01,1444
CH0100027403,1,2025-06-05,1427.2,2025-08-01,1424
CH0100027409,0,2025-06-05,NA,,
CH0100027412,1,2025-06-05,1411.7,2025-08-01,1408
CH0100027432,0,2025-06-05,NA,,
CH0100027442,1,2025-06-05,NA,,
CH0100027971,0,2025-06-05,NA,,
CH0100027976,0,2025-06-05,NA,,
CH0100027997,1,2025-06-05,1475.6,,
CH0100027998,1,2025-06-05,1495.8,,
CH0100027999,1,2025-06-05,1243.8,,
CH0100028033,0,2025-06-05,NA,,
CH0100028054,1,2025-06-05,1271.9,,
CH0100028113,0,2025-06-05,NA,,
CH0100028125,0,2025-06-05,NA,,
CH0100028128,1,2025-06-05,NA,,
CH0100028209,1,2025-06-05,1283.4,,
CH0100028228,1,2025-06-05,1449.7,,
CH0100028246,1,2025-06-05,1436.3,,
CH0100028371,0,2025-06-05,NA,,
CH0100028620,0,2025-06-05,NA,,
CH0100030917,0,2025-06-05,NA,,
CH0100031555,0,2025-06-05,NA,,
